channel_id	signal	A_cavity	B_cavity	A_connector_mpn	A_channel_type_id	A_compatible_channel_type_ids	B_connector_mpn	B_channel_type_id	B_compatible_channel_type_ids
	neg	20	20	DB25F	(1, 'https://github.com/kenyonshutt/harnice-library-public')	(2, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(2, 'https://github.com/kenyonshutt/harnice-library-public')	(1, 'https://github.com/kenyonshutt/harnice-library-public')
	chassis	8	8	DB25F	(5, 'https://github.com/kenyonshutt/harnice-library-public')	(5, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(5, 'https://github.com/kenyonshutt/harnice-library-public')	(5, 'https://github.com/kenyonshutt/harnice-library-public')
	pos	18	18	DB25F	(1, 'https://github.com/kenyonshutt/harnice-library-public')	(2, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(2, 'https://github.com/kenyonshutt/harnice-library-public')	(1, 'https://github.com/kenyonshutt/harnice-library-public')
	neg	6	6	DB25F	(1, 'https://github.com/kenyonshutt/harnice-library-public')	(2, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(2, 'https://github.com/kenyonshutt/harnice-library-public')	(1, 'https://github.com/kenyonshutt/harnice-library-public')
	chassis	19	19	DB25F	(5, 'https://github.com/kenyonshutt/harnice-library-public')	(5, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(5, 'https://github.com/kenyonshutt/harnice-library-public')	(5, 'https://github.com/kenyonshutt/harnice-library-public')
	pos	4	4	DB25F	(1, 'https://github.com/kenyonshutt/harnice-library-public')	(2, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(2, 'https://github.com/kenyonshutt/harnice-library-public')	(1, 'https://github.com/kenyonshutt/harnice-library-public')
	neg	17	17	DB25F	(1, 'https://github.com/kenyonshutt/harnice-library-public')	(2, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(2, 'https://github.com/kenyonshutt/harnice-library-public')	(1, 'https://github.com/kenyonshutt/harnice-library-public')
	chassis	5	5	DB25F	(5, 'https://github.com/kenyonshutt/harnice-library-public')	(5, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(5, 'https://github.com/kenyonshutt/harnice-library-public')	(5, 'https://github.com/kenyonshutt/harnice-library-public')
	pos	15	15	DB25F	(1, 'https://github.com/kenyonshutt/harnice-library-public')	(2, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(2, 'https://github.com/kenyonshutt/harnice-library-public')	(1, 'https://github.com/kenyonshutt/harnice-library-public')
	neg	3	3	DB25F	(1, 'https://github.com/kenyonshutt/harnice-library-public')	(2, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(2, 'https://github.com/kenyonshutt/harnice-library-public')	(1, 'https://github.com/kenyonshutt/harnice-library-public')
	chassis	16	16	DB25F	(5, 'https://github.com/kenyonshutt/harnice-library-public')	(5, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(5, 'https://github.com/kenyonshutt/harnice-library-public')	(5, 'https://github.com/kenyonshutt/harnice-library-public')
	pos	1	1	DB25F	(1, 'https://github.com/kenyonshutt/harnice-library-public')	(2, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(2, 'https://github.com/kenyonshutt/harnice-library-public')	(1, 'https://github.com/kenyonshutt/harnice-library-public')
	neg	14	14	DB25F	(1, 'https://github.com/kenyonshutt/harnice-library-public')	(2, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(2, 'https://github.com/kenyonshutt/harnice-library-public')	(1, 'https://github.com/kenyonshutt/harnice-library-public')
	chassis	2	2	DB25F	(5, 'https://github.com/kenyonshutt/harnice-library-public')	(5, 'https://github.com/kenyonshutt/harnice-library-public')	DB25M	(5, 'https://github.com/kenyonshutt/harnice-library-public')	(5, 'https://github.com/kenyonshutt/harnice-library-public')
